R,GR,grape,grass,angry,gr,gr
R,IR,girl,bird,birthday cake,ir,ɜr
R,OR,fork,storm,corn,or,ɔr
R,PR,proud,pretzel,present,pr,pr
R,RD,hard hat,skateboard,lizard,rd,rd
R,RK,fork,dark,work,rk,rk
R,RL,girl,pearl,curl,rl,rl
R,RM,arm,armadillo,storm,rm,rm
R,RN,barn,corn,horn,rn,rn
R,rrr,car,chair,horse,Rr,r
R,TR,tricycle,tree,firetruck,tr,tr
R,UR,turtle,purse,surfboard,ur,ɜr
S,SC,scarf,schoolbus,scratch,sc,sk
S,SH,shoes,shovel,fish,sh,ʃ
S,SK,skunk,skate,basket,sk,sk
S,SL,sled,slippers,slide,sl,sl
S,SN,snail,snake,snow,sn,sn
S,SP,spider,spoon,spill,sp,sp
S,sss,suitcase,whistle,saint bernard,Ss,ɪs
S,ST,stilts,steal,statue,st,st
S,SW,sweet,swing,swan,sw,sw
S,US,bus,cactus,walrus,us,əs
S,zz,dogs,skis,poison,Ss,z
T,AT,cat,hat,bat,at,æt
T,ET,net,pet,rocket,et,ɛt
T,IT,hit,sit,mittens,it,ɪt
T,OT,pot,hot,robot,ot,t
T,ST,stilts,steal,statue,st,st
T,TH,three,throne,moth,th,θ
T,THE,father,mother,feather,th,ðə
T,TR,tricycle,tree,firetruck,tr,tr
T,tttt,toe,traffic light,hat,Tt,t
T,UT,cut,nuts,butterfly,ut,ət
U,OU,mouth,cloud,mouse,ou,oʊ
U,u,unicycle,binoculars,utility knife,Uu,u
U,UG,hug,bug,plug,ug,əɡ
U,uh,bug,bucket,chipmunk,Uu,ə
U,UL,bull,bulldog,seagull,ul,ʊl
U,UM,jump,trumpet,drum,um,əm
U,UN,nun,bunny,chipmunk,un,
U,UR,turtle,purse,surfboard,ur,ɜr
U,US,bus,cactus,walrus,us,əs
U,UT,cut,nuts,butterfly,ut,ət
U,uu,blue,tuba,statue,Uu,u
V,OV,oven,love,glove,ov,əv
V,vv,volcano,van,beaver,Vv,v
W,aw,saw,hawk,draw,aw,ɔ
W,OW,rainbow,snow,bow and arrow,ow,oʊ
W,OWW,owl,cow,town,ow,aʊ
W,SW,sweet,swing,swan,sw,sw
W,WH,whistle,wheelchair,whale,wh,hw
W,wuh,wagon,wolf,window,Ww,w
X,ks,fox,taxi,axe,Xx,ks
X,zz,xylophone,,,Xx,z
Y,e,baby,candy,sleepy,Yy,i
Y,i,cry,fly,sky,Yy,aɪ
Y,LY,silly,hilly,jellyfish,ly,li
Y,yuh,yellow,yo-yo,crayons,Yy,'j
Z,zzz,zebra,lizard,dozer,Zz,z
